epoch,train_loss,eval_loss,eval_top1,eval_top5
0,9.086637680112323,8.775098046875,4.45,18.23
1,8.676934024283279,7.913655859375,10.24,32.11
2,8.314266935658669,7.192040283203125,17.0,44.15
3,8.043820994764223,6.61648525390625,21.59,51.69
4,7.815417726274947,6.087996667480469,27.29,59.72
5,7.575200894120103,5.588424279785157,32.14,65.41
6,7.343024883319107,5.281941848754883,34.41,67.65
7,7.184228861072457,4.788523132324219,41.15,74.08
8,6.948508789536285,4.6137004089355464,41.94,75.71
9,6.851724105058345,4.289059127807617,45.95,77.33
10,6.794696304160104,4.122655288696289,48.48,79.69
11,6.622307248671137,4.145930284118652,47.27,79.24
12,6.527729332981281,3.9139253250122072,50.87,81.35
13,6.488280703560491,3.8039782821655272,51.8,81.45
14,6.3288940546912515,3.467925077819824,56.3,85.09
15,6.3201180383582125,3.5265070434570314,55.66,84.92
16,6.246975940870414,3.3406467681884764,58.96,86.03
17,6.255208978884962,3.3620116638183593,58.33,86.23
18,6.152409451871767,3.340416796875,58.18,86.15
19,6.131986542028899,3.0825265487670896,61.52,87.68
20,6.122060594729669,3.186050225830078,61.21,87.5
21,6.09486957396191,3.1272537704467775,62.68,87.67
22,5.987202961222005,3.1531890045166016,62.01,88.09
23,5.935183257971164,3.03837078704834,62.5,88.86
24,5.905227553371278,3.003144958496094,64.53,89.08
25,5.868868416005915,2.9075342956542967,64.07,89.41
26,5.749843586116991,2.9491390289306643,64.12,88.97
27,5.825901810552033,2.9270566314697266,66.5,90.15
28,5.723812116703517,2.791110903930664,66.88,90.3
29,5.6923835930842595,2.857706022644043,66.29,89.92
30,5.756674032052562,2.7581864959716795,67.36,90.31
31,5.697175654498014,2.8365874473571777,66.48,90.12
32,5.719189007975228,2.7507943920135496,67.28,90.71
33,5.65015436531487,2.6923353187561037,68.0,90.79
34,5.559074157331421,2.7310753871917726,68.29,91.41
35,5.5757869791892976,2.683160104751587,68.64,91.35
36,5.528081212245243,2.729739786911011,68.55,91.14
37,5.559230856645122,2.742206046676636,68.43,91.17
38,5.537517521659177,2.6512724029541017,68.82,91.76
39,5.53821026958363,2.5555932132720947,69.37,91.93
40,5.561544845717817,2.566514936065674,71.15,92.1
41,5.49467244740485,2.6956343502044677,69.31,91.87
42,5.429483161540404,2.5238554538726805,70.51,91.84
43,5.374409621259467,2.776018706893921,68.95,91.21
44,5.455190983990853,2.533194474411011,71.25,92.59
45,5.402662334002545,2.6180275810241698,69.97,91.91
46,5.3708704900802635,2.60320737991333,69.54,91.46
47,5.365185353270566,2.5786165241241457,69.72,91.79
48,5.425629980280213,2.599058968734741,70.23,91.39
49,5.402313510526005,2.5237949657440186,70.18,91.64
50,5.340233450204554,2.5028621742248536,71.57,92.51
51,5.431645796943108,2.6587715145111086,70.67,91.63
52,5.385256169547497,2.514988164520264,71.54,92.31
53,5.445660626231938,2.5718421493530275,70.94,91.77
54,5.33402141871434,2.452816351699829,71.69,92.81
55,5.3729689176195565,2.5007661796569822,71.77,92.41
56,5.4113486448109684,2.5734055923461914,71.58,92.15
57,5.403800500339797,2.5679560802459718,71.68,92.54
58,5.360864180456203,2.382082311630249,72.4,92.65
59,5.341593955451486,2.505674217605591,71.18,91.57
60,5.375693932690785,2.511399568557739,71.69,92.26
61,5.274330521973086,2.4287196952819823,72.0,92.42
62,5.31822317083117,2.5507597843170164,71.93,92.27
63,5.276969673386304,2.3581285175323488,73.06,92.84
64,5.320233858806986,2.4983377017974853,72.3,92.43
65,5.266593102151087,2.4326749591827395,72.39,92.61
66,5.190686605651308,2.5098887802124024,72.63,92.67
67,5.216772473575822,2.391450242996216,72.42,92.88
68,5.243296408012185,2.4924917636871338,72.67,92.6
69,5.209893474810865,2.528890040206909,72.22,92.48
70,5.181821912870517,2.337631014251709,72.45,92.89
71,5.278659835209767,2.556316251373291,72.65,92.5
72,5.296810061617179,2.539087870025635,72.22,92.57
